,course_title,price,num_subscribers,level,subject,idioma
274,"Bitcoin: el futuro del dinero, hoy",200,57,Intermediate Level,Business Finance,Español
275,Aprende a invertir practicando,35,26,All Levels,Business Finance,Ingles
276,Trading con retrocesos de Fibonacci,25,14,All Levels,Business Finance,Español
277,Mit Finanzwissen zu besserem Unternehmertum,50,49,Beginner Level,Business Finance,Aleman
278,Como hacer empresa en 10 sesiones prácticas,20,11,Intermediate Level,Business Finance,Español
279,المحاسبة للإداريين و غير المحاسبين,20,9,Beginner Level,Business Finance,Arabe
280,株式投資で本当のファンダメンタル分析ができるようになる,20,91,All Levels,Business Finance,Japones
281,Curso de Trading práctico basado en casos reales,20,44,All Levels,Business Finance,Español
282,Curso Avanzado de Trading,125,106,All Levels,Business Finance,Español
283,สอนเทรดไบนารี่ อ๊อฟชั่นอย่างง่าย,0,2079,All Levels,Business Finance,Tailandes
284,MQL4 Tutorial Golden Goose,20,135,Beginner Level,Business Finance,Ingles
285,Análise de Concessão de Crédito,20,31,All Levels,Business Finance,Portuges
286,Technical Analysis Using Elliott Wave Theory,60,217,All Levels,Business Finance,Ingles
287,The Basics Of Volume Analysis,60,611,All Levels,Business Finance,Ingles
288,Crash Course on Cost of Capital and Capital Structuring,0,5007,All Levels,Business Finance,Ingles
289,Business Accounting Made Easy,50,1168,Beginner Level,Business Finance,Ingles
290,Build a DCF Model from Scratch,0,4653,All Levels,Business Finance,Ingles
291,"Multiply your returns using 'Value Investing"",https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z
874284,Weekly Forex Analysis by Baraq FX""",0,3035,All Levels,Business Finance,Ingles
292,Technical Analysis - A practical approach for trade entry,60,454,Expert Level,Business Finance,Ingles
293,Mastering Technical Analysis : Maximizing Trading Profits,60,325,All Levels,Business Finance,Ingles
294,The Complete Guide to Professional Trading with Elliott Wave,115,228,All Levels,Business Finance,Ingles
295,A Complete Guide to Becoming a Trader on the Forex Market,25,562,All Levels,Business Finance,Ingles
296,Stock Market for Beginners - Complete Starter Toolkit,120,577,Intermediate Level,Business Finance,Ingles
297,Beginners Binary Options Course,0,10540,Beginner Level,Business Finance,Ingles
298,Technical Analysis 101: Secrets of Trading Revealed,150,912,All Levels,Business Finance,Ingles
299,Forex: What's a Trend and When it is Strong and Reliable,0,2955,Intermediate Level,Business Finance,Ingles
300,Volatility Trading Analysis with R,50,190,Expert Level,Business Finance,Ingles
301,How To Profit From Stock Market Volatility,0,1736,All Levels,Business Finance,Ingles
302,Awaken the Accountant in You | Master the Accounting Basics,35,1135,Beginner Level,Business Finance,Ingles
303,WE WILL PAY YOU TO TRADE WITH US,20,2101,All Levels,Business Finance,Ingles
304,Situational Trading: Proven Option Strategy for any Scenario,200,1048,All Levels,Business Finance,Ingles
305,Portfolio Management for CA / CS / CFA exams,20,1740,All Levels,Business Finance,Ingles
306,Algorithmic Trading in MATLAB: WFAToolbox App GUI (Finance),20,1749,All Levels,Business Finance,Ingles
307,Finding an Unlimited Amount of Investors,80,1187,All Levels,Business Finance,Ingles
308,Bookkeeping Made Easy,70,1263,Beginner Level,Business Finance,Ingles
